metric,bot_min,bot_max,non_min,non_max,suggested_rule
sat_mean,0.24579623341560364,0.6529104113578796,0.0,0.9767187833786011,⚠️ Overlap (no safe rule)
white,1.4022360991661369e-05,0.0911407470703125,0.0,0.96343994140625,⚠️ Overlap (no safe rule)
skin,0.0005749168006581162,0.83551025390625,0.0,0.968994140625,⚠️ Overlap (no safe rule)
ed,0.02860094230265864,0.204681396484375,0.0,0.36407470703125,⚠️ Overlap (no safe rule)
sat_std,0.09026336669921875,0.22367073595523834,0.0,0.45909634232521057,⚠️ Overlap (no safe rule)
sym,0.8138835832184437,0.9216208309596134,0.5533566942401961,1.0,⚠️ Overlap (no safe rule)
lines,1.4723479041244438,105.5908203125,0.0,182.9833984375,⚠️ Overlap (no safe rule)
var,1179.2344970703125,5152.07861328125,0.0,12443.1796875,⚠️ Overlap (no safe rule)
dom,0.362091064453125,0.9438357701080656,0.3377685546875,0.9998779296875,⚠️ Overlap (no safe rule)
bright,0.27226981882009804,0.9602367451112368,0.0,0.9833201688878677,⚠️ Overlap (no safe rule)
entropy,2.2736029624938965,8.208666801452637,-0.0,9.006247520446777,⚠️ Overlap (no safe rule)
